Time_Taken,Node 1,Node 2,Node 3,Node 4,Node 5
1390,1,0.899999976,0.896000028,0.545000017,0.458000004
1394,1,0.899999976,0.896000028,0.541000009,0.463999987
1398,1,0.896000028,0.899999976,0.541000009,0.469999999
1402,1,0.899999976,0.899999976,0.545000017,0.476999998
1406,1,0.899999976,0.899999976,0.547999978,0.48300001
1410,1,0.899999976,0.902999997,0.550999999,0.49000001
1414,1,0.899999976,0.902999997,0.55400002,0.495999992
1418,1,0.899999976,0.902999997,0.558000028,0.503000021
1422,1,0.899999976,0.902999997,0.558000028,0.509000003
1427,1,0.899999976,0.906000018,0.56099999,0.515999973
1431,1,0.899999976,0.906000018,0.56099999,0.518999994
1434,1,0.899999976,0.908999979,0.56400001,0.528999984
1436,1,0.899999976,0.906000018,0.56400001,0.532000005
1438,1,0.899999976,0.908999979,0.56400001,0.535000026
1440,1.003000021,0.899999976,0.908999979,0.566999972,0.537999988
1442,1,0.899999976,0.908999979,0.56400001,0.541000009
1444,1,0.899999976,0.908999979,0.566999972,0.541000009
1446,1,0.899999976,0.908999979,0.566999972,0.545000017
1448,1.003000021,0.899999976,0.908999979,0.566999972,0.547999978
1450,1,0.899999976,0.908999979,0.566999972,0.550999999
1452,1,0.899999976,0.908999979,0.566999972,0.550999999
1454,1,0.899999976,0.908999979,0.566999972,0.55400002
1456,1.003000021,0.899999976,0.908999979,0.569999993,0.558000028
1458,1.003000021,0.899999976,0.912,0.569999993,0.558000028
1460,1,0.899999976,0.912,0.569999993,0.558000028
1462,1,0.899999976,0.912,0.574000001,0.56099999
1464,1.003000021,0.899999976,0.916000009,0.574000001,0.56099999
1466,1.003000021,0.899999976,0.916000009,0.569999993,0.56099999
1468,1.003000021,0.899999976,0.916000009,0.574000001,0.56400001
1470,1.003000021,0.902999997,0.916000009,0.574000001,0.566999972
1473,1.003000021,0.899999976,0.916000009,0.577000022,0.566999972
1475,1,0.899999976,0.916000009,0.577000022,0.569999993
1477,1.003000021,0.902999997,0.916000009,0.577000022,0.569999993
1479,1,0.899999976,0.916000009,0.579999983,0.569999993
1481,1,0.902999997,0.916000009,0.579999983,0.574000001
1483,1.003000021,0.902999997,0.916000009,0.579999983,0.574000001
1485,1,0.902999997,0.91900003,0.583000004,0.574000001
1487,1.003000021,0.902999997,0.91900003,0.579999983,0.579999983
1490,1.003000021,0.902999997,0.91900003,0.583000004,0.579999983
1493,1.003000021,0.902999997,0.91900003,0.583000004,0.579999983
1496,1,0.902999997,0.91900003,0.587000012,0.583000004
1499,1.003000021,0.902999997,0.91900003,0.589999974,0.583000004
1502,1.003000021,0.902999997,0.921999991,0.589999974,0.587000012
1505,1.003000021,0.902999997,0.921999991,0.589999974,0.587000012
1508,1.003000021,0.902999997,0.921999991,0.592999995,0.589999974
1511,1.003000021,0.902999997,0.921999991,0.592999995,0.592999995
1514,1.003000021,0.902999997,0.921999991,0.592999995,0.592999995
1517,1.003000021,0.902999997,0.921999991,0.596000016,0.596000016
1521,1.003000021,0.902999997,0.921999991,0.596000016,0.596000016
1523,1.003000021,0.902999997,0.91900003,0.596000016,0.596000016
1525,1.003000021,0.902999997,0.921999991,0.600000024,0.596000016
1528,1.003000021,0.902999997,0.921999991,0.600000024,0.600000024
1530,1.003000021,0.902999997,0.921999991,0.600000024,0.600000024
1532,1.003000021,0.902999997,0.921999991,0.600000024,0.600000024
1534,1.003000021,0.902999997,0.921999991,0.602999985,0.602999985
1536,1.003000021,0.902999997,0.91900003,0.602999985,0.602999985
1538,1.003000021,0.902999997,0.921999991,0.606000006,0.602999985
1544,1.003000021,0.902999997,0.921999991,0.606000006,0.602999985
1546,1,0.902999997,0.91900003,0.609000027,0.602999985
1548,1.003000021,0.902999997,0.91900003,0.606000006,0.606000006
1550,1.003000021,0.902999997,0.921999991,0.609000027,0.606000006
1552,1.003000021,0.902999997,0.91900003,0.609000027,0.606000006
1554,1.003000021,0.902999997,0.91900003,0.609000027,0.606000006
